Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
267,LSTM_model,72 hours,0.81,2.13,2.43,1.63,0.88,-0.03,5.92
267,LSTM_model,120 hours,0.84,1.76,2.09,1.67,0.65,0.13,4.38
1396,LSTM_model,3 hours,0.0,2.22,2.22,2.0,,-inf,4.95
1396,LSTM_model,6 hours,0.34,2.76,2.82,1.56,1.0,-15.18,7.93
1396,LSTM_model,12 hours,0.69,2.48,2.61,1.7,0.93,-0.56,6.79
1396,LSTM_model,24 hours,0.72,2.18,2.37,1.69,0.86,-0.98,5.64
1396,LSTM_model,36 hours,0.84,1.63,1.99,1.73,0.9,0.38,3.95
1396,LSTM_model,72 hours,0.81,1.96,2.46,1.72,0.59,-0.49,6.06
1396,LSTM_model,120 hours,0.82,3.12,3.81,1.73,0.58,-0.69,14.5
1075,LSTM_model,3 hours,0.0,0.51,0.51,2.0,,-inf,0.26
1075,LSTM_model,6 hours,0.0,0.26,0.36,0.48,,-inf,0.13
1075,LSTM_model,12 hours,0.91,1.02,1.37,1.8,1.0,0.87,1.86
1075,LSTM_model,24 hours,0.83,1.97,2.3,1.78,0.94,0.48,5.3
1075,LSTM_model,36 hours,0.82,2.56,2.86,1.79,0.93,0.26,8.21
1075,LSTM_model,72 hours,0.79,3.24,3.47,1.78,0.92,-0.23,12.04
1075,LSTM_model,120 hours,0.82,2.86,3.19,1.78,0.65,-0.21,10.16
563,CNN_LSTM_model,3 hours,0.0,3.71,3.71,2.0,,-inf,13.77
563,CNN_LSTM_model,6 hours,0.03,3.09,3.15,1.16,-1.0,-3968.5,9.92
563,CNN_LSTM_model,12 hours,0.81,2.15,2.5,1.76,0.98,0.51,6.24
563,CNN_LSTM_model,24 hours,0.86,1.65,1.98,1.74,0.96,0.66,3.94
563,CNN_LSTM_model,36 hours,0.89,1.32,1.69,1.77,0.94,0.75,2.87
563,CNN_LSTM_model,72 hours,0.92,1.08,1.41,1.77,0.94,0.81,1.98
563,CNN_LSTM_model,120 hours,0.88,1.57,1.93,1.76,0.9,0.63,3.71
651,CNN_LSTM_model,3 hours,0.0,0.31,0.31,2.0,,-inf,0.09
651,CNN_LSTM_model,6 hours,0.28,0.64,0.72,1.31,1.0,-50.5,0.52
651,CNN_LSTM_model,12 hours,0.89,0.81,1.02,1.82,0.98,0.85,1.04
651,CNN_LSTM_model,24 hours,0.9,0.89,1.07,1.78,0.94,0.83,1.15
651,CNN_LSTM_model,36 hours,0.91,0.96,1.28,1.79,0.92,0.83,1.63
651,CNN_LSTM_model,72 hours,0.86,2.06,2.59,1.79,0.76,0.47,6.71
651,CNN_LSTM_model,120 hours,0.81,2.93,3.48,1.78,0.63,-0.27,12.13
175,CNN_LSTM_model,3 hours,0.0,9.08,9.08,2.0,,-inf,82.42
175,CNN_LSTM_model,6 hours,0.04,7.73,7.84,1.55,-1.0,-2733.28,61.52
175,CNN_LSTM_model,12 hours,0.06,5.68,6.11,1.74,-0.5,-2212.1,37.35
175,CNN_LSTM_model,24 hours,0.58,5.32,5.63,1.76,0.65,-7.0,31.74
175,CNN_LSTM_model,36 hours,0.69,4.08,4.69,1.74,0.52,-2.53,22.03
175,CNN_LSTM_model,72 hours,0.75,3.49,3.97,1.74,0.69,-1.41,15.74
175,CNN_LSTM_model,120 hours,0.76,3.34,3.78,1.73,0.75,-0.99,14.29
1148,CNN_LSTM_model,3 hours,0.0,6.86,6.86,2.0,,-inf,47.1
1148,CNN_LSTM_model,6 hours,0.67,4.14,4.95,1.34,1.0,-1.0,24.54
1148,CNN_LSTM_model,12 hours,0.86,2.5,3.55,1.75,0.97,0.55,12.64
1148,CNN_LSTM_model,24 hours,0.76,4.98,5.88,1.72,0.89,-0.17,34.61
1148,CNN_LSTM_model,36 hours,0.78,4.61,5.55,1.75,0.92,0.08,30.83
1148,CNN_LSTM_model,72 hours,0.79,4.53,5.38,1.74,0.87,-0.05,28.93
1148,CNN_LSTM_model,120 hours,0.79,4.36,5.04,1.76,0.74,-0.42,25.39
355,CNN_LSTM_model,3 hours,0.0,1.93,1.93,2.0,,-inf,3.73
355,CNN_LSTM_model,6 hours,0.15,1.78,1.78,1.85,-1.0,-140.2,3.18
355,CNN_LSTM_model,12 hours,0.78,2.47,2.58,1.6,0.95,0.53,6.63
355,CNN_LSTM_model,24 hours,0.76,3.52,3.74,1.6,0.57,0.02,13.99
355,CNN_LSTM_model,36 hours,0.78,3.15,3.37,1.66,0.66,0.03,11.37
355,CNN_LSTM_model,72 hours,0.78,3.25,3.46,1.7,0.67,-0.46,11.97
355,CNN_LSTM_model,120 hours,0.78,3.09,3.32,1.66,0.71,-0.56,11.02
939,CNN_LSTM_model,3 hours,0.0,1.03,1.03,2.0,,-inf,1.07
939,CNN_LSTM_model,6 hours,0.21,1.68,1.8,0.98,-1.0,-80.14,3.25
939,CNN_LSTM_model,12 hours,0.82,1.58,1.68,1.83,0.89,0.63,2.83
939,CNN_LSTM_model,24 hours,0.87,1.39,1.58,1.83,0.9,0.76,2.48
939,CNN_LSTM_model,36 hours,0.89,1.27,1.59,1.84,0.9,0.73,2.54
939,CNN_LSTM_model,72 hours,0.92,1.0,1.3,1.83,0.93,0.84,1.69
939,CNN_LSTM_model,120 hours,0.9,1.33,1.65,1.83,0.9,0.77,2.74
11,CNN_LSTM_model,3 hours,0.0,0.69,0.69,2.0,,-inf,0.48
11,CNN_LSTM_model,6 hours,0.77,0.53,0.55,1.48,1.0,0.58,0.3
11,CNN_LSTM_model,12 hours,0.81,1.92,2.4,1.69,0.88,0.24,5.76
