Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
351,CNN_LSTM_model,24 hours,0.8,2.31,2.56,1.56,0.92,0.4,6.57
351,CNN_LSTM_model,36 hours,0.79,3.02,3.34,1.57,0.56,0.23,11.13
351,CNN_LSTM_model,72 hours,0.79,3.07,3.35,1.67,0.54,-0.03,11.21
351,CNN_LSTM_model,120 hours,0.8,2.89,3.16,1.66,0.63,-0.13,10.01
783,CNN_LSTM_model,3 hours,0.0,2.84,2.84,2.0,,-inf,8.05
783,CNN_LSTM_model,6 hours,0.8,1.64,2.03,1.67,1.0,0.51,4.12
783,CNN_LSTM_model,12 hours,0.87,1.45,1.69,1.7,0.99,0.78,2.86
783,CNN_LSTM_model,24 hours,0.87,1.46,1.63,1.74,0.98,0.8,2.66
783,CNN_LSTM_model,36 hours,0.89,1.36,1.61,1.74,0.98,0.81,2.59
783,CNN_LSTM_model,72 hours,0.91,1.13,1.4,1.79,0.96,0.86,1.95
783,CNN_LSTM_model,120 hours,0.87,1.8,2.35,1.8,0.82,0.55,5.52
199,CNN_LSTM_model,3 hours,0.0,0.28,0.28,2.0,,-inf,0.08
199,CNN_LSTM_model,6 hours,0.91,0.19,0.21,1.51,1.0,0.95,0.05
199,CNN_LSTM_model,12 hours,0.89,0.85,1.18,1.71,0.97,0.79,1.4
199,CNN_LSTM_model,24 hours,0.87,1.07,1.24,1.76,0.94,0.8,1.55
199,CNN_LSTM_model,36 hours,0.86,1.39,1.75,1.74,0.9,0.63,3.06
199,CNN_LSTM_model,72 hours,0.78,2.55,3.03,1.68,0.72,-0.37,9.17
199,CNN_LSTM_model,120 hours,0.81,2.19,2.67,1.69,0.75,-0.09,7.11
614,CNN_LSTM_model,3 hours,0.0,1.75,1.75,2.0,,-inf,3.07
614,CNN_LSTM_model,6 hours,0.58,4.05,4.65,0.37,1.0,-2.76,21.65
614,CNN_LSTM_model,12 hours,0.65,3.94,4.26,1.74,0.79,-1.59,18.15
614,CNN_LSTM_model,24 hours,0.73,2.98,3.39,1.77,0.79,-1.05,11.47
614,CNN_LSTM_model,36 hours,0.75,3.24,3.7,1.8,0.8,-0.78,13.7
614,CNN_LSTM_model,72 hours,0.85,2.09,2.77,1.8,0.76,0.21,7.65
614,CNN_LSTM_model,120 hours,0.83,2.46,3.08,1.8,0.75,-0.12,9.46
687,CNN_LSTM_model,3 hours,0.0,2.08,2.08,2.0,,-inf,4.33
687,CNN_LSTM_model,6 hours,0.6,1.94,1.95,1.65,1.0,-0.81,3.8
687,CNN_LSTM_model,12 hours,0.71,2.13,2.14,1.7,1.0,-0.18,4.59
687,CNN_LSTM_model,24 hours,0.81,1.78,1.9,1.76,0.96,0.48,3.6
687,CNN_LSTM_model,36 hours,0.84,1.41,1.61,1.74,0.94,0.56,2.59
687,CNN_LSTM_model,72 hours,0.87,1.44,1.65,1.76,0.91,0.7,2.71
687,CNN_LSTM_model,120 hours,0.88,1.59,1.83,1.77,0.91,0.7,3.36
438,CNN_LSTM_model,3 hours,0.0,3.5,3.5,2.0,,-inf,12.22
438,CNN_LSTM_model,6 hours,0.39,4.46,4.56,0.96,1.0,-9.61,20.8
438,CNN_LSTM_model,12 hours,0.58,3.9,4.01,1.77,0.93,-2.56,16.07
438,CNN_LSTM_model,24 hours,0.66,3.33,3.49,1.79,0.96,-1.9,12.15
438,CNN_LSTM_model,36 hours,0.67,3.37,3.67,1.8,0.89,-2.82,13.49
438,CNN_LSTM_model,72 hours,0.66,3.45,3.74,1.77,0.85,-4.42,13.99
438,CNN_LSTM_model,120 hours,0.69,3.28,3.51,1.76,0.85,-2.29,12.31
1026,CNN_LSTM_model,3 hours,0.0,2.35,2.35,2.0,,-inf,5.54
1026,CNN_LSTM_model,6 hours,0.08,2.18,2.19,0.57,1.0,-476.51,4.78
1026,CNN_LSTM_model,12 hours,0.59,2.17,2.21,1.47,0.96,-1.9,4.9
1026,CNN_LSTM_model,24 hours,0.57,3.4,3.64,1.78,0.91,-3.85,13.25
1026,CNN_LSTM_model,36 hours,0.63,2.79,3.11,1.77,0.87,-2.94,9.65
1026,CNN_LSTM_model,72 hours,0.63,3.42,3.72,1.79,0.89,-3.94,13.82
1026,CNN_LSTM_model,120 hours,0.65,3.98,4.39,1.81,0.8,-4.35,19.3
543,CNN_LSTM_model,3 hours,0.0,4.16,4.16,2.0,,-inf,17.31
543,CNN_LSTM_model,6 hours,0.72,3.33,3.43,1.43,1.0,0.35,11.77
543,CNN_LSTM_model,12 hours,0.75,3.42,3.47,1.4,0.96,0.26,12.02
543,CNN_LSTM_model,24 hours,0.79,3.04,3.26,1.61,0.93,0.42,10.65
543,CNN_LSTM_model,36 hours,0.81,3.18,3.48,1.63,0.94,0.44,12.14
543,CNN_LSTM_model,72 hours,0.83,2.85,3.19,1.7,0.91,0.43,10.18
543,CNN_LSTM_model,120 hours,0.87,2.17,2.62,1.73,0.91,0.56,6.88
319,CNN_LSTM_model,3 hours,0.0,3.18,3.18,2.0,,-inf,10.1
319,CNN_LSTM_model,6 hours,0.61,2.48,2.57,1.55,1.0,-0.84,6.63
319,CNN_LSTM_model,12 hours,0.85,1.54,1.87,1.64,0.98,0.64,3.51
319,CNN_LSTM_model,24 hours,0.87,1.31,1.68,1.72,0.91,0.7,2.81
319,CNN_LSTM_model,36 hours,0.86,1.56,1.94,1.7,0.91,0.58,3.75
319,CNN_LSTM_model,72 hours,0.85,1.91,2.29,1.72,0.67,0.45,5.25
319,CNN_LSTM_model,120 hours,0.84,2.11,2.47,1.67,0.68,0.42,6.09
1182,CNN_LSTM_model,3 hours,0.0,5.15,5.15,2.0,,-inf,26.49
1182,CNN_LSTM_model,6 hours,0.0,5.1,5.1,1.13,,-inf,26.06
1182,CNN_LSTM_model,12 hours,0.3,3.4,3.85,1.74,0.88,-65.51,14.8
1182,CNN_LSTM_model,24 hours,0.55,2.36,3.01,1.78,0.86,-18.27,9.08
1182,CNN_LSTM_model,36 hours,0.71,2.38,2.87,1.78,0.76,-3.43,8.25
1182,CNN_LSTM_model,72 hours,0.79,3.7,4.37,1.72,0.49,-0.68,19.11
1182,CNN_LSTM_model,120 hours,0.76,4.47,5.13,1.72,0.48,-1.28,26.33
351,CNN_A_model,3 hours,0.0,5.11,5.11,2.0,,-inf,26.14
351,CNN_A_model,6 hours,0.45,4.35,4.41,1.46,1.0,-5.36,19.48
351,CNN_A_model,12 hours,0.73,2.96,3.4,1.55,0.93,-0.56,11.54
351,CNN_A_model,24 hours,0.78,2.76,3.28,1.58,0.87,0.02,10.75
351,CNN_A_model,36 hours,0.81,2.82,3.28,1.64,0.55,0.26,10.75
351,CNN_A_model,72 hours,0.85,2.17,2.69,1.74,0.59,0.33,7.25
351,CNN_A_model,120 hours,0.87,1.8,2.28,1.73,0.67,0.41,5.19
783,CNN_A_model,3 hours,0.0,2.63,2.63,2.0,,-inf,6.93
783,CNN_A_model,6 hours,0.77,1.83,2.0,1.73,1.0,0.53,3.99
783,CNN_A_model,12 hours,0.9,1.11,1.45,1.78,0.99,0.84,2.1
783,CNN_A_model,24 hours,0.88,1.45,1.86,1.78,0.98,0.74,3.46
783,CNN_A_model,36 hours,0.89,1.39,1.89,1.77,0.98,0.74,3.57
783,CNN_A_model,72 hours,0.9,1.32,1.77,1.79,0.97,0.78,3.12
783,CNN_A_model,120 hours,0.89,1.44,1.88,1.79,0.85,0.71,3.54
199,CNN_A_model,3 hours,0.0,1.14,1.14,2.0,,-inf,1.3
199,CNN_A_model,6 hours,0.56,1.66,1.74,1.64,1.0,-2.04,3.04
199,CNN_A_model,12 hours,0.85,1.16,1.33,1.75,0.97,0.74,1.76
199,CNN_A_model,24 hours,0.86,1.15,1.27,1.76,0.99,0.79,1.62
199,CNN_A_model,36 hours,0.87,1.19,1.29,1.76,0.98,0.8,1.66
199,CNN_A_model,72 hours,0.85,1.53,1.9,1.74,0.71,0.46,3.6
199,CNN_A_model,120 hours,0.86,1.46,1.77,1.75,0.74,0.52,3.13
614,CNN_A_model,3 hours,0.0,1.46,1.46,2.0,,-inf,2.13
614,CNN_A_model,6 hours,0.69,2.23,2.36,0.12,1.0,0.04,5.55
614,CNN_A_model,12 hours,0.81,1.72,1.88,1.69,0.81,0.5,3.52
614,CNN_A_model,24 hours,0.86,1.25,1.52,1.78,0.82,0.59,2.32
