Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
986,CNN_LSTM_model,6 hours,0.78,2.71,2.93,1.83,0.72,0.23,8.6
986,CNN_LSTM_model,12 hours,0.91,3.64,4.17,1.96,0.99,0.87,17.36
986,CNN_LSTM_model,24 hours,0.92,5.89,6.87,1.98,0.98,0.92,47.17
986,CNN_LSTM_model,36 hours,0.9,7.88,9.13,1.98,0.91,0.82,83.35
986,CNN_LSTM_model,72 hours,0.8,20.12,26.72,1.99,0.64,-0.4,714.06
986,CNN_LSTM_model,120 hours,0.71,37.17,47.31,1.99,0.26,-3.68,2238.21
2527,CNN_LSTM_model,3 hours,0.71,0.48,0.58,1.52,0.52,-0.51,0.34
2527,CNN_LSTM_model,6 hours,0.79,1.54,1.92,1.88,0.95,-0.17,3.68
2527,CNN_LSTM_model,12 hours,0.94,1.41,1.71,1.95,0.97,0.94,2.91
2527,CNN_LSTM_model,24 hours,0.92,3.52,6.07,1.97,0.92,0.75,36.88
2527,CNN_LSTM_model,36 hours,0.85,7.46,10.55,1.98,0.86,0.13,111.21
2527,CNN_LSTM_model,72 hours,0.7,22.27,28.81,1.98,0.46,-7.75,830.12
2527,CNN_LSTM_model,120 hours,0.71,29.72,35.1,1.98,0.57,-5.05,1231.77
3801,CNN_LSTM_model,3 hours,0.0,5.5,5.58,1.66,,-inf,31.11
3801,CNN_LSTM_model,6 hours,0.37,5.29,5.35,1.69,0.73,-20.47,28.63
3801,CNN_LSTM_model,12 hours,0.72,5.82,5.91,1.94,0.98,-0.31,34.99
3801,CNN_LSTM_model,24 hours,0.81,4.55,4.85,1.95,0.97,0.44,23.56
3801,CNN_LSTM_model,36 hours,0.86,4.28,4.67,1.95,0.96,0.6,21.8
3801,CNN_LSTM_model,72 hours,0.8,8.13,10.0,1.96,0.64,-0.65,99.93
3801,CNN_LSTM_model,120 hours,0.78,42.4,65.01,1.98,-0.87,-3.22,4226.15
131,CNN_LSTM_model,3 hours,0.75,1.84,2.08,1.9,0.94,0.08,4.31
131,CNN_LSTM_model,6 hours,0.88,3.58,4.07,1.95,0.95,0.8,16.59
131,CNN_LSTM_model,12 hours,0.92,6.37,7.19,1.98,0.99,0.9,51.74
131,CNN_LSTM_model,24 hours,0.9,11.53,12.98,1.99,0.99,0.83,168.54
131,CNN_LSTM_model,36 hours,0.88,14.66,16.24,1.99,0.97,0.73,263.83
131,CNN_LSTM_model,72 hours,0.78,30.92,36.18,1.99,0.8,-0.38,1308.7
131,CNN_LSTM_model,120 hours,0.71,45.66,52.55,1.99,0.58,-2.68,2761.55
1137,CNN_LSTM_model,3 hours,0.61,2.09,2.33,1.86,0.99,-1.71,5.42
1137,CNN_LSTM_model,6 hours,0.75,4.88,5.69,1.96,0.99,-0.33,32.34
1137,CNN_LSTM_model,12 hours,0.88,5.13,5.6,1.97,0.99,0.8,31.38
1137,CNN_LSTM_model,24 hours,0.9,5.71,6.23,1.98,0.99,0.87,38.83
1137,CNN_LSTM_model,36 hours,0.84,11.33,14.12,1.98,0.86,0.14,199.33
1137,CNN_LSTM_model,72 hours,0.76,19.3,22.28,1.98,0.86,-1.08,496.26
1137,CNN_LSTM_model,120 hours,0.73,25.49,28.75,1.99,0.86,-2.24,826.74
5731,CNN_LSTM_model,3 hours,0.22,4.98,5.56,1.85,-0.41,-138.15,30.92
5731,CNN_LSTM_model,6 hours,0.76,4.68,5.08,1.94,0.95,0.05,25.76
5731,CNN_LSTM_model,12 hours,0.89,6.04,6.43,1.98,0.99,0.85,41.36
5731,CNN_LSTM_model,24 hours,0.9,8.48,9.25,1.99,0.99,0.88,85.57
5731,CNN_LSTM_model,36 hours,0.87,12.71,14.46,1.99,0.96,0.6,209.05
5731,CNN_LSTM_model,72 hours,0.87,14.33,15.74,1.99,0.97,0.64,247.71
5731,CNN_LSTM_model,120 hours,0.85,17.32,19.62,1.99,0.82,0.3,384.84
7816,CNN_LSTM_model,3 hours,0.5,5.25,6.23,1.81,-0.93,-12.42,38.76
