Time,Model,Size,SIM,MAE,RMSE,FSD,R,NSE,MSE
4124,CNN_LSTM_model,120 hours,0.51,57.22,66.11,1.99,0.41,-26.36,4370.83
8309,CNN_LSTM_model,3 hours,0.6,16.96,17.35,1.97,0.99,-1.89,301.08
8309,CNN_LSTM_model,6 hours,0.71,27.21,29.35,1.99,1.0,-0.86,861.32
8309,CNN_LSTM_model,12 hours,0.73,39.71,42.43,1.99,1.0,-0.37,1799.93
8309,CNN_LSTM_model,24 hours,0.7,44.94,46.48,1.99,0.97,-1.03,2160.61
8309,CNN_LSTM_model,36 hours,0.68,51.08,52.83,1.99,0.95,-1.58,2791.38
8309,CNN_LSTM_model,72 hours,0.64,66.82,70.44,1.99,0.85,-3.93,4961.21
8309,CNN_LSTM_model,120 hours,0.6,77.97,81.72,1.99,0.83,-6.15,6678.92
4357,CNN_LSTM_model,3 hours,0.12,14.31,14.41,1.62,-0.99,-310.37,207.58
4357,CNN_LSTM_model,6 hours,0.56,17.1,17.44,1.92,0.97,-4.65,304.05
4357,CNN_LSTM_model,12 hours,0.75,20.35,20.78,1.98,1.0,0.1,431.62
4357,CNN_LSTM_model,24 hours,0.77,19.45,20.01,1.99,0.98,0.34,400.37
4357,CNN_LSTM_model,36 hours,0.77,32.82,38.87,1.98,0.66,-0.99,1510.5
4357,CNN_LSTM_model,72 hours,0.66,75.89,89.25,1.99,-0.31,-5.84,7965.04
4357,CNN_LSTM_model,120 hours,0.61,121.31,138.7,1.99,-0.65,-11.7,19238.99
1464,CNN_LSTM_model,3 hours,0.72,1.62,1.7,1.86,0.99,0.19,2.88
1464,CNN_LSTM_model,6 hours,0.95,2.1,2.53,1.98,0.99,0.97,6.42
1464,CNN_LSTM_model,12 hours,0.92,5.73,7.36,1.98,0.99,0.92,54.17
1464,CNN_LSTM_model,24 hours,0.92,5.71,6.75,1.98,0.99,0.92,45.5
1464,CNN_LSTM_model,36 hours,0.91,7.9,9.8,1.98,0.97,0.83,95.99
1464,CNN_LSTM_model,72 hours,0.86,14.48,16.77,1.99,0.94,0.45,281.24
1464,CNN_LSTM_model,120 hours,0.91,13.4,15.97,1.99,0.94,0.72,255.04
6271,CNN_LSTM_model,3 hours,0.94,2.15,3.0,1.97,0.99,0.94,8.97
6271,CNN_LSTM_model,6 hours,0.93,6.29,8.57,1.99,0.99,0.91,73.44
6271,CNN_LSTM_model,12 hours,0.88,17.54,21.42,1.99,1.0,0.74,458.95
6271,CNN_LSTM_model,24 hours,0.84,24.11,26.52,1.99,0.97,0.53,703.11
6271,CNN_LSTM_model,36 hours,0.85,24.5,26.18,1.99,0.98,0.63,685.51
6271,CNN_LSTM_model,72 hours,0.83,27.9,29.46,1.99,0.98,0.48,867.83
6271,CNN_LSTM_model,120 hours,0.78,41.39,46.84,1.99,0.88,-0.45,2193.94
3839,CNN_LSTM_model,3 hours,0.81,0.96,1.03,1.71,1.0,0.7,1.05
3839,CNN_LSTM_model,6 hours,0.83,4.49,6.07,1.89,0.98,0.37,36.88
3839,CNN_LSTM_model,12 hours,0.75,8.74,10.21,1.9,0.95,-0.26,104.18
3839,CNN_LSTM_model,24 hours,0.66,16.12,18.36,1.95,0.2,-4.58,337.04
3839,CNN_LSTM_model,36 hours,0.6,20.47,22.55,1.96,0.22,-11.03,508.58
3839,CNN_LSTM_model,72 hours,0.68,62.37,80.4,1.98,-0.93,-6.18,6464.4
3839,CNN_LSTM_model,120 hours,0.56,103.32,121.46,1.99,-0.66,-15.17,14752.83
2209,CNN_LSTM_model,3 hours,0.43,5.55,5.78,1.48,0.34,-10.56,33.4
2209,CNN_LSTM_model,6 hours,0.58,7.59,7.95,1.81,0.95,-2.98,63.22
2209,CNN_LSTM_model,12 hours,0.53,9.32,9.64,1.85,0.67,-7.54,92.96
2209,CNN_LSTM_model,24 hours,0.66,6.47,7.45,1.84,0.28,-2.82,55.43
2209,CNN_LSTM_model,36 hours,0.78,8.64,9.81,1.96,0.82,-1.46,96.25
2209,CNN_LSTM_model,72 hours,0.87,10.54,12.61,1.98,0.88,0.5,159.09
2209,CNN_LSTM_model,120 hours,0.82,21.25,27.08,1.98,0.62,-0.82,733.09
7114,CNN_LSTM_model,3 hours,0.75,5.05,5.75,1.96,0.99,0.05,33.09
7114,CNN_LSTM_model,6 hours,0.83,9.44,10.79,1.98,1.0,0.55,116.35
7114,CNN_LSTM_model,12 hours,0.78,14.26,15.55,1.99,1.0,0.21,241.8
7114,CNN_LSTM_model,24 hours,0.78,14.24,14.93,1.98,0.99,-0.03,222.91
7114,CNN_LSTM_model,36 hours,0.76,15.41,16.07,1.98,0.99,-0.22,258.33
7114,CNN_LSTM_model,72 hours,0.71,20.96,22.67,1.97,0.82,-1.42,514.14
7114,CNN_LSTM_model,120 hours,0.78,24.92,29.24,1.97,0.63,-1.22,854.75
8072,CNN_LSTM_model,3 hours,0.66,10.13,10.16,1.96,1.0,-0.28,103.21
8072,CNN_LSTM_model,6 hours,0.8,16.82,18.36,1.99,1.0,0.42,337.22
8072,CNN_LSTM_model,12 hours,0.77,31.7,35.76,1.99,1.0,-0.02,1278.94
8072,CNN_LSTM_model,24 hours,0.72,39.61,42.15,1.99,0.96,-0.92,1776.65
8072,CNN_LSTM_model,36 hours,0.69,49.18,52.88,1.99,0.9,-1.98,2796.02
8072,CNN_LSTM_model,72 hours,0.63,64.47,71.75,1.99,0.61,-6.19,5147.97
8072,CNN_LSTM_model,120 hours,0.61,81.3,93.41,1.99,0.09,-11.14,8726.01
1439,CNN_A_model,3 hours,0.67,4.03,4.62,1.94,1.0,-1.23,21.35
1439,CNN_A_model,6 hours,0.94,2.97,3.6,1.98,1.0,0.96,12.95
1439,CNN_A_model,12 hours,0.92,6.79,8.23,1.99,0.99,0.92,67.8
1439,CNN_A_model,24 hours,0.86,12.19,13.9,1.99,0.96,0.64,193.28
1439,CNN_A_model,36 hours,0.82,17.1,19.95,1.99,0.91,0.33,397.95
1439,CNN_A_model,72 hours,0.75,27.37,30.37,1.99,0.87,-0.78,922.61
1439,CNN_A_model,120 hours,0.8,26.09,28.69,1.99,0.91,-0.08,823.36
4124,CNN_A_model,3 hours,0.93,0.97,1.11,1.93,0.99,0.95,1.23
4124,CNN_A_model,6 hours,0.96,1.55,1.92,1.97,0.99,0.98,3.68
4124,CNN_A_model,12 hours,0.96,1.49,1.97,1.98,0.99,0.98,3.87
4124,CNN_A_model,24 hours,0.93,3.33,4.06,1.98,0.99,0.92,16.45
4124,CNN_A_model,36 hours,0.89,6.36,8.16,1.98,0.95,0.67,66.57
4124,CNN_A_model,72 hours,0.71,24.74,32.74,1.99,0.55,-5.83,1071.74
4124,CNN_A_model,120 hours,0.57,49.49,61.15,1.99,0.32,-22.41,3739.38
8309,CNN_A_model,3 hours,0.69,11.26,11.56,1.97,0.99,-0.28,133.57
8309,CNN_A_model,6 hours,0.81,15.36,16.0,1.99,1.0,0.45,256.06
8309,CNN_A_model,12 hours,0.84,20.26,21.39,1.99,1.0,0.65,457.63
8309,CNN_A_model,24 hours,0.8,26.8,28.13,1.99,0.97,0.25,791.32
8309,CNN_A_model,36 hours,0.76,34.7,37.69,1.99,0.93,-0.31,1420.65
8309,CNN_A_model,72 hours,0.68,57.02,62.52,1.99,0.76,-2.89,3909.19
8309,CNN_A_model,120 hours,0.64,66.55,71.25,1.99,0.78,-4.44,5076.0
4357,CNN_A_model,3 hours,0.13,14.09,14.33,1.81,-1.0,-306.88,205.25
4357,CNN_A_model,6 hours,0.55,17.99,18.79,1.87,0.82,-5.56,353.18
4357,CNN_A_model,12 hours,0.69,28.27,30.46,1.97,0.99,-0.94,927.81
4357,CNN_A_model,24 hours,0.67,33.71,35.18,1.98,0.97,-1.03,1237.52
4357,CNN_A_model,36 hours,0.69,49.9,56.46,1.98,0.34,-3.2,3187.67
4357,CNN_A_model,72 hours,0.61,94.99,107.45,1.99,-0.52,-8.92,11545.95
4357,CNN_A_model,120 hours,0.55,150.28,170.26,1.99,-0.73,-18.13,28988.89
